state_code,date,total_doses,total_vaccinated,total_fully_vaccinated
TS,18/1/2021,17408,17408,0
TS,19/1/2021,69405,69405,0
TS,20/1/2021,69405,69405,0
TS,21/1/2021,97087,97087,0
TS,22/1/2021,110031,110031,0
TS,23/1/2021,110031,110031,0
TS,24/1/2021,110031,110031,0
TS,25/1/2021,130390,130390,0
TS,26/1/2021,130425,130425,0
TS,27/1/2021,130425,130425,0
TS,28/1/2021,151246,151246,0
TS,29/1/2021,166606,166606,0
TS,30/1/2021,168606,168606,0
TS,31/1/2021,168606,168606,0
TS,1/2/2021,168771,168771,0
TS,2/2/2021,170043,170043,0
TS,3/2/2021,176732,176732,0
TS,4/2/2021,188279,188279,0
TS,5/2/2021,193667,193667,0
TS,6/2/2021,209104,209104,0
TS,7/2/2021,209104,209104,0
TS,8/2/2021,229027,229027,0
TS,9/2/2021,243665,243665,0
TS,10/2/2021,258122,258122,0
TS,11/2/2021,270615,270615,0
TS,12/2/2021,278250,278250,0
TS,13/2/2021,282188,278915,3273
TS,14/2/2021,282188,278915,3273
TS,15/2/2021,293442,279237,14205
TS,16/2/2021,332847,279497,53350
UP,16/1/2021,22620,22620,0
UP,17/1/2021,22620,22620,0
UP,18/1/2021,22644,22644,0
UP,19/1/2021,22644,22644,0
UP,20/1/2021,22644,22644,0
UP,21/1/2021,22644,22644,0
UP,22/1/2021,123761,123761,0
UP,23/1/2021,123761,123761,0
UP,24/1/2021,123761,123761,0
UP,25/1/2021,123761,123761,0
UP,26/1/2021,123761,123761,0
UP,27/1/2021,123761,123761,0
UP,28/1/2021,294959,294959,0
UP,29/1/2021,463793,463793,0
UP,30/1/2021,463793,463793,0
UP,31/1/2021,463793,463793,0
UP,1/2/2021,463793,463793,0
UP,2/2/2021,463793,463793,0
UP,3/2/2021,463793,463793,0
UP,4/2/2021,589101,589101,0
UP,5/2/2021,673542,673542,0
UP,6/2/2021,673542,673542,0
UP,7/2/2021,673542,673542,0
UP,8/2/2021,673542,673542,0
UP,9/2/2021,673542,673542,0
UP,10/2/2021,673542,673542,0
UP,11/2/2021,763421,763421,0
UP,12/2/2021,858602,858602,0
UP,13/2/2021,858602,858602,0
UP,14/2/2021,858602,858602,0
UP,15/2/2021,934962,916568,18394
UP,16/2/2021,934962,916568,18394
UK,16/1/2021,2276,2276,0
UK,17/1/2021,2276,2276,0
UK,18/1/2021,4237,4237,0
UK,19/1/2021,6119,6119,0
UK,20/1/2021,6119,6119,0
UK,21/1/2021,8206,8206,0
UK,22/1/2021,10514,10514,0
UK,23/1/2021,10514,10514,0
UK,24/1/2021,10514,10514,0
UK,25/1/2021,14546,14546,0
UK,26/1/2021,14546,14546,0
UK,27/1/2021,14690,14690,0
UK,28/1/2021,19517,19517,0
UK,29/1/2021,25818,25818,0
UK,30/1/2021,28791,28791,0
UK,31/1/2021,31228,31228,0
UK,1/2/2021,37505,37505,0
UK,2/2/2021,43430,43430,0
UK,3/2/2021,54153,54153,0
UK,4/2/2021,62858,62858,0
UK,5/2/2021,70292,70292,0
UK,6/2/2021,73762,73762,0
UK,7/2/2021,74607,74607,0
UK,8/2/2021,79283,79283,0
UK,9/2/2021,85359,85359,0
UK,10/2/2021,90483,90483,0
UK,11/2/2021,97618,97618,0
UK,12/2/2021,104052,104052,0
UK,13/2/2021,108974,108974,0
UK,14/2/2021,110326,110326,0
UK,15/2/2021,116702,115281,1421
UK,16/2/2021,121726,119060,2666
WB,16/1/2021,15707,15707,0
WB,17/1/2021,15707,15707,0
WB,18/1/2021,29866,29866,0
WB,19/1/2021,43559,43559,0
WB,20/1/2021,46310,46310,0
WB,21/1/2021,53988,53988,0
WB,22/1/2021,84505,84505,0
WB,23/1/2021,84505,84505,0
WB,24/1/2021,84505,84505,0
WB,25/1/2021,122851,122851,0
WB,26/1/2021,122851,122851,0
WB,27/1/2021,158193,158193,0
WB,28/1/2021,187485,187485,0
WB,29/1/2021,221994,221994,0
WB,30/1/2021,243069,243069,0
WB,31/1/2021,243143,243143,0
WB,1/2/2021,266407,266407,0
WB,2/2/2021,288245,288245,0
WB,3/2/2021,301091,301091,0
WB,4/2/2021,320668,320668,0
WB,5/2/2021,344227,344227,0
WB,6/2/2021,354000,354000,0
WB,7/2/2021,354000,354000,0
WB,8/2/2021,377608,377608,0
WB,9/2/2021,404001,404001,0
WB,10/2/2021,427042,427042,0
WB,11/2/2021,453303,453303,0
WB,12/2/2021,485054,485054,0
WB,13/2/2021,515117,512772,2345
WB,14/2/2021,516952,514570,2382
WB,15/2/2021,555120,545299,9821
WB,16/2/2021,556450,546433,10017
